experiment	gene_identifier	log2_fc	n_trt	n_ctl	expression_ctl0	log10_p	log10_p_bh
2	140915_at	-1.23255814	3	2	1.904	-0.717731115	-0.065116852
2	293024_at	-0.471760797	3	2	2.927	-0.486741341	-0.051225517
2	287417_at	0.063122924	3	2	4.382	-0.081228465	-0.010789266
2	85270_at	-0.322259136	3	2	1.178	-0.08558137	-0.011173067
2	315795_at	-0.166112957	3	2	3.35	-0.239273804	-0.031485957
2	293488_at	0.448504983	3	2	2.756	-0.552253122	-0.058824065
2	302669_at	-0.903654485	3	2	1.703	-0.495604702	-0.051815831
2	29694_at	-2.009966777	3	2	0.877	-0.936681582	-0.076228404
2	161476_at	0.142857143	3	2	1.338	-0.071053386	-0.009467173
2	363485_at	-0.478405316	3	2	2.81	-0.647099462	-0.065116852
2	360640_at	0.209302326	3	2	2.102	-0.224128557	-0.028842801
2	367316_at	-0.352159468	3	2	2.117	-0.266134269	-0.034819732
2	288593_at	-0.149501661	3	2	1.907	-0.097509753	-0.012460086
2	304689_at	-0.029900332	3	2	1.199	-0.005707454	-0.000903046
2	360526_at	-0.411960133	3	2	2.795	-0.760288066	-0.065116852
2	301250_at	0.126245847	3	2	2.848	-0.163870784	-0.021275426
2	84382_at	-0.700996678	3	2	2.494	-1.239118525	-0.087141226
2	79426_at	-0.348837209	3	2	3.255	-0.498332675	-0.052187992
2	362002_at	0.15282392	3	2	3.298	-0.203876427	-0.025460682
2	308739_at	0.166112957	3	2	1.417	-0.048784973	-0.007382419
2	298609_at	-0.441860465	3	2	2.866	-0.765084508	-0.065116852
2	309969_at	-0.199335548	3	2	2.992	-0.31421919	-0.039536221
2	316219_at	-0.491694352	3	2	1.823	-0.372545379	-0.04404801
2	362575_at	0.066445183	3	2	2.616	-0.082122927	-0.010894496
2	286959_at	-0.102990033	3	2	1.353	-0.054121524	-0.007482979
2	300053_at	0.478405316	3	2	2.431	-0.764881687	-0.065116852
2	364656_at	0.212624585	3	2	3.149	-0.217709034	-0.028259783
2	365388_at	0.196013289	3	2	3.037	-0.264947803	-0.034819732
2	682469_at	-0.083056478	3	2	2.85	-0.120484495	-0.015714865
2	306616_at	0.162790698	3	2	0.918	-0.051974669	-0.007459647
2	84551_at	-0.3089701	3	2	1.751	-0.138687407	-0.017575294
2	303310_at	-0.534883721	3	2	2.161	-0.716447727	-0.065116852
2	81680_at	-0.857142857	3	2	1.852	-1.421182665	-0.104978153
2	170566_at	-1.558139535	3	2	2.299	-1.4964061	-0.105173986
2	303798_at	-0.272425249	3	2	2.605	-0.321312984	-0.040656894
2	360617_at	0.176079734	3	2	3.241	-0.234709653	-0.030436029
2	313210_at	-0.548172757	3	2	3.206	-0.770311516	-0.065116852
2	361419_at	-0.069767442	3	2	1.203	-0.028411977	-0.004057197
2	25692_at	-1.212624585	3	2	2.299	-0.696538005	-0.065116852
2	316131_at	0.408637874	3	2	3.026	-0.567132861	-0.059314898
2	309911_at	-0.182724252	3	2	2.457	-0.263255136	-0.034601871
2	362642_at	0.15282392	3	2	2.442	-0.195305934	-0.024201426
2	79242_at	0.15282392	3	2	1.826	-0.114572884	-0.015059348
2	80878_at	-1.624584718	3	2	1.526	-1.164025008	-0.083570239
2	499417_at	0.096345515	3	2	3.634	-0.132857963	-0.017575294
2	362736_at	0.38538206	3	2	3.587	-0.596078273	-0.062310396
2	303547_at	-0.03986711	3	2	2.789	-0.050430737	-0.007421337
2	117103_at	-0.142857143	3	2	3.227	-0.217842663	-0.028259783
2	289400_at	0	3	2	2.688	-0.001209478	-0.000194589
2	361714_at	-0.468438538	3	2	2.335	-0.864756439	-0.069038628
2	499797_at	-0.521594684	3	2	2.945	-0.955877589	-0.078888388
2	312382_at	0.23255814	3	2	2.886	-0.169388645	-0.02161317
2	170580_at	-0.77076412	3	2	2.204	-0.88089329	-0.072339589
2	29718_at	-0.488372093	3	2	1.11	-0.255359379	-0.033268107
2	85259_at	-0.418604651	3	2	1.224	-0.086498069	-0.011266475
2	300077_at	-0.142857143	3	2	2.479	-0.156848538	-0.019890665
2	293135_at	0.205980066	3	2	1.895	-0.156517689	-0.019796899
2	289740_at	0.186046512	3	2	2.804	-0.276857049	-0.034819732
2	362935_at	0.15282392	3	2	1.973	-0.053292884	-0.007459647
2	29576_at	0.109634551	3	2	1.742	-0.126341439	-0.016750044
2	685539_at	0.328903654	3	2	2.851	-0.606281522	-0.063874722
2	246249_at	-0.372093023	3	2	1.363	-0.263319889	-0.034601871
2	291921_at	-0.086378738	3	2	2.318	-0.060461635	-0.007853787
2	291434_at	-0.129568106	3	2	4.134	-0.151308998	-0.018606041
2	306526_at	-0.006644518	3	2	2.466	-0.005538864	-0.000903046
2	94202_at	-0.720930233	3	2	1.801	-0.441005197	-0.047745948
2	81024_at	0.594684385	3	2	2.391	-0.403917181	-0.046187636
